V pH
0.00136715365367 2.72370253274
0.00274980291783 3.03124568373
0.00588453036654 3.371001207
0.00766470795835 3.49118301519
0.00843493802968 3.53512581284
0.0106927712062 3.64511662131
0.013639631358 3.76011446604
0.0145390360056 3.79072145018
0.0153155599586 3.81581545484
0.018556990652 3.90977005539
0.0198881632203 3.94427786771
0.0216516375542 3.98710041642
0.0239717853562 4.03923259641
0.0249594607161 4.0601843595
0.025803323444 4.07756567181
0.0279776091201 4.12037106807
0.0296862206963 4.15223954271
0.0341274583926 4.22912341274
0.0353081409624 4.24834225951
0.0358830625535 4.2575393942
0.0383337068478 4.29565871767
0.0383743889092 4.29627762321
0.0400425875353 4.32129762224
0.043914165824 4.3769472418
0.0458391917318 4.40353260997
0.0475820195055 4.42706666264
0.0496753838729 4.4547337252
0.0519943956266 4.48470562322
0.0526557647151 4.49313568662
0.0551383756105 4.5243634104
0.0582012633103 4.56209570691
0.0594756958349 4.57757433656
0.0597150979653 4.58046901798
0.0629608142873 4.61935551685
0.0641833308901 4.6338505979
0.065646036172 4.65110301264
0.0683308592315 4.68255889537
0.0689384363656 4.68964645189
0.0713073178227 4.71719975291
0.0721354532573 4.72680900512
0.0756251131107 4.76723971897
0.0762158737954 4.7740824946
0.0776833774714 4.79108996463
0.0802824369875 4.82127834922
0.0827363116383 4.84991547837
0.0832056102058 4.85541262327
0.0852182226249 4.8790796127
0.0868568667089 4.89847802982
0.0882527245801 4.91511032277
0.0915800911948 4.95524019696
0.0931042536961 4.97388972479
0.0940437402566 4.98548121586
0.0947863617146 4.99469948782
0.0987592907357 5.04496282974
0.099432725182 5.05365979324
0.101447848877 5.08003436632
0.103222251263 5.10373400997
0.105816318579 5.13929074924
0.107652306562 5.16519357898
0.108566972882 5.17835106455
0.110589414779 5.20810067595
0.114452700635 5.26781943312
0.11485310944 5.27425584834
0.117472395415 5.31768374276
0.117500290555 5.31815946223
0.121423875836 5.38830076716
0.12162536159 5.39209380858
0.123693069919 5.43227519783
0.126339937441 5.4875247689
0.12655954513 5.4923288702
0.128465362266 5.53564847566
0.129998857142 5.57288472251
0.132762847198 5.64661102607
0.134146940009 5.68746766747
0.135562891909 5.73266061682
0.135845387236 5.7421469035
0.140212900176 5.91613395446
0.141214912448 5.96613446707
0.143746729522 6.12149075854
0.147268011936 6.49162962638
0.147470680865 6.52570205574
0.14908048551 6.96986222101
0.150883480428 11.0421487772
0.152400017359 11.4745263964
0.154525400422 11.7476812209
0.156215860689 11.8837144003
0.156729301562 11.9176345343
0.159379418208 12.0590199004
0.161867946584 12.1585875928
0.163371387973 12.2088060814
0.164881800299 12.2537010927
0.165303203179 12.2653870679
0.169239880466 12.3607097854
0.169386594852 12.363856994
0.173838974027 12.4490566751
0.174258651568 12.4562059537
0.176753165926 12.4961684358
0.179023426144 12.5292376761
0.179622653703 12.5375067926
