2.59174148 2.65297462 2.73495312
2.52453324 2.64614107 2.65368077
2.59090154 2.47394119 2.57635325
2.47459192 2.50352434 2.44748844
2.46908044 2.55393003 2.35003178
2.49374245 2.62154960 2.16711542
2.49801412 2.51935078 2.45662841
2.58864315 2.66350550 2.46766845
2.49265110 2.56318899 2.73295230
2.53827444 2.42477173 2.11800199
2.52164809 2.62419645 2.78601309
2.52856570 2.60181260 2.68297748
2.53996323 2.57952168 3.06934327
2.46121649 2.61701960 2.81452975
2.57900437 2.55714921 2.03545678
2.50667978 2.49883458 2.48114851
2.57425910 2.72477146 1.70383375
2.52025298 2.57795195 2.77657178
2.40228238 2.64850458 2.47319007
2.49233619 2.65020672 2.61254739
2.53318255 2.50472489 2.49362435
2.46168744 2.55962664 2.55959848
2.56402440 2.53428467 2.69530989
2.52065631 2.62033711 2.47499946
2.49049082 2.35379436 2.26423637
2.47412441 2.59167582 2.44888102
2.52664809 2.35557151 2.30337156
2.51713462 2.42251993 2.50602923
2.45195766 2.71153184 2.53500412
2.55291969 2.41155776 2.25313972
2.55607911 2.69543436 2.52926323
2.56958302 2.53627572 2.52869621
2.60360283 2.40227475 2.45078482
2.55239999 2.38532427 2.27874901
2.48619866 2.66837872 2.55193443
2.48292114 2.43965613 2.56612885
2.47372518 2.50484127 3.01116994
2.58001879 2.62337143 2.62540413
2.62626798 2.42451492 2.69876284
2.61171330 2.50601666 2.53557565
2.52630518 2.53484747 2.19063103
2.52676308 2.55855638 2.55612835
2.58443786 2.45803655 2.55287260
2.52250499 2.50636898 2.77503925
2.46759851 2.50716157 2.22936509
2.51439401 2.67300581 2.63487045
2.54589660 2.47645198 2.49271955
2.47111952 2.54834147 2.73419442
2.49186145 2.53993284 2.48993782
2.59906745 2.51159509 2.61762427
2.54256472 2.74889436 2.51942197
2.57110622 2.48201926 2.45083372
2.56687480 2.64795696 2.70867738
2.61352856 2.38054938 2.50147761
2.50970894 2.58987285 2.34615028
2.51268138 2.62416578 2.19017842
2.47379807 2.63429563 2.49682950
2.55849443 2.42746355 2.51856189
2.49081411 2.62011935 2.13405785
2.49176025 2.50971134 2.47701744
2.46619223 2.61989978 3.00373392
2.45098253 2.62717078 2.89530662
2.51860078 2.61385512 2.25853730
2.52165462 2.60818352 2.21092096
2.46054851 2.35730714 2.34941430
2.47897547 2.43975353 2.57212352
2.55779412 2.66494558 2.66733230
2.50654394 2.38043624 2.03564431
2.46494328 2.59786222 2.68649513
2.51328734 2.44999411 2.61935858
2.54881106 2.34024672 2.43957071
2.53035457 2.47070104 2.45421853
2.48571724 2.34968436 2.54406384
2.58190782 2.53653174 3.01615236
2.49610914 2.53767114 2.42407712
2.49985115 2.42321160 2.34690678
2.49054087 2.37219414 2.71960322
2.51818729 2.35369581 2.41310500
2.54560676 2.37871527 2.16215619
2.42877054 2.70504140 2.66708489
2.58216381 2.77100872 2.71793511
2.50593945 2.56783717 2.65172540
2.51329465 2.49609059 2.78633054
2.52085744 2.52776100 2.41860727
2.49152288 2.50784258 2.71821776
2.51436153 2.34259219 2.36716541
2.45383491 2.50689321 1.99077665
2.52614982 2.38719127 2.30189556
2.52025872 2.37564662 2.23175620
2.56498217 2.46928740 1.99986274
2.45963937 2.61640659 2.63819817
2.47870784 2.28687409 2.80173685
2.47123303 2.39404262 2.23379474
2.44884570 2.51609542 2.58421316
2.51121536 2.38884713 2.50892932
2.56506299 2.52043955 2.79993351
2.57472255 2.54411979 2.91006260
2.56780268 2.37689911 2.01503366
2.56869425 2.67614354 2.32341566
2.59286598 2.53666296 2.35614308
